bin_low_MeV,bin_high_MeV,dN_dE_per_MeV_per_fission
0.000000,0.025000,4.37532514e-01
0.025000,0.050000,1.84440899e+00
0.050000,0.075000,1.91529298e+00
0.075000,0.100000,1.88069701e+00
0.100000,0.125000,2.43511009e+00
0.125000,0.150000,3.21731400e+00
0.150000,0.175000,3.24590111e+00
0.175000,0.200000,3.32951093e+00
0.200000,0.225000,3.78219199e+00
0.225000,0.250000,3.49320793e+00
0.250000,0.275000,3.44839406e+00
0.275000,0.300000,3.34974694e+00
0.300000,0.325000,3.24956012e+00
0.325000,0.350000,3.22732091e+00
0.350000,0.375000,3.04011989e+00
0.375000,0.400000,3.06173396e+00
0.400000,0.425000,3.03255892e+00
0.425000,0.450000,3.04368091e+00
0.450000,0.475000,3.02588797e+00
0.475000,0.500000,3.11152506e+00
0.500000,0.525000,3.01355004e+00
0.525000,0.550000,2.89777708e+00
0.550000,0.575000,2.76512194e+00
0.575000,0.600000,2.61945105e+00
0.600000,0.625000,2.57994390e+00
0.625000,0.650000,2.63055897e+00
0.650000,0.675000,2.62511492e+00
0.675000,0.700000,2.62790394e+00
0.700000,0.725000,2.66579294e+00
0.725000,0.750000,2.67909002e+00
0.750000,0.775000,2.64123297e+00
0.775000,0.800000,2.65458894e+00
0.800000,0.825000,2.65092611e+00
0.825000,0.850000,2.66656494e+00
0.850000,0.875000,2.67195010e+00
0.875000,0.900000,2.65168691e+00
0.900000,0.925000,2.60867310e+00
0.925000,0.950000,2.47562099e+00
0.950000,0.975000,2.45161295e+00
0.975000,1.000000,2.42514300e+00
1.000000,1.025000,2.35293007e+00
1.025000,1.050000,2.31765103e+00
1.050000,1.075000,2.31154895e+00
1.075000,1.100000,2.29860711e+00
1.100000,1.125000,2.25276089e+00
1.125000,1.150000,2.21386099e+00
1.150000,1.175000,2.19739008e+00
1.175000,1.200000,2.17385006e+00
1.200000,1.225000,2.12227511e+00
1.225000,1.250000,2.07003188e+00
1.250000,1.275000,2.01340199e+00
1.275000,1.300000,1.94972897e+00
1.300000,1.325000,1.89273798e+00
1.325000,1.350000,1.86852205e+00
1.350000,1.375000,1.82743704e+00
1.375000,1.400000,1.81429303e+00
1.400000,1.425000,1.78409505e+00
1.425000,1.450000,1.76436102e+00
1.450000,1.475000,1.74459803e+00
1.475000,1.500000,1.72438300e+00
1.500000,1.525000,1.68181205e+00
1.525000,1.550000,1.65857995e+00
1.550000,1.575000,1.61579204e+00
1.575000,1.600000,1.59742403e+00
1.600000,1.625000,1.58192098e+00
1.625000,1.650000,1.56428397e+00
1.650000,1.675000,1.54104900e+00
1.675000,1.700000,1.52020800e+00
1.700000,1.725000,1.50397801e+00
1.725000,1.750000,1.48673999e+00
1.750000,1.775000,1.46296597e+00
1.775000,1.800000,1.42506301e+00
1.800000,1.825000,1.39486396e+00
1.825000,1.850000,1.37588298e+00
1.850000,1.875000,1.36047494e+00
1.875000,1.900000,1.34645295e+00
1.900000,1.925000,1.32945001e+00
1.925000,1.950000,1.29029703e+00
1.950000,1.975000,1.27314198e+00
1.975000,2.000000,1.25433302e+00
2.000000,2.025000,1.23893499e+00
2.025000,2.050000,1.22323501e+00
2.050000,2.075000,1.20817900e+00
2.075000,2.100000,1.17334998e+00
2.100000,2.125000,1.15167105e+00
2.125000,2.150000,1.13096499e+00
2.150000,2.175000,1.11029804e+00
2.175000,2.200000,1.09494495e+00
2.200000,2.225000,1.07502604e+00
2.225000,2.250000,1.05314600e+00
2.250000,2.275000,1.02801299e+00
2.275000,2.300000,9.93430078e-01
2.300000,2.325000,9.73692179e-01
2.325000,2.350000,9.53100502e-01
2.350000,2.375000,9.37964082e-01
2.375000,2.400000,9.26012099e-01
2.400000,2.425000,9.14835095e-01
2.425000,2.450000,9.03652906e-01
2.450000,2.475000,8.90719593e-01
2.475000,2.500000,8.73874426e-01
2.500000,2.525000,8.47771823e-01
2.525000,2.550000,8.35520208e-01
2.550000,2.575000,8.21891606e-01
2.575000,2.600000,8.09672475e-01
2.600000,2.625000,7.95662582e-01
2.625000,2.650000,7.75334597e-01
2.650000,2.675000,7.62489080e-01
2.675000,2.700000,7.51483977e-01
2.700000,2.725000,7.37796128e-01
2.725000,2.750000,7.25985706e-01
2.750000,2.775000,7.15737700e-01
2.775000,2.800000,7.05364704e-01
2.800000,2.825000,6.96161926e-01
2.825000,2.850000,6.84968114e-01
2.850000,2.875000,6.75501883e-01
2.875000,2.900000,6.63749516e-01
2.900000,2.925000,6.44025326e-01
2.925000,2.950000,6.28308177e-01
2.950000,2.975000,6.18851185e-01
2.975000,3.000000,6.09692395e-01
3.000000,3.025000,5.89487016e-01
3.025000,3.050000,5.80930471e-01
3.050000,3.075000,5.72696507e-01
3.075000,3.100000,5.65206409e-01
3.100000,3.125000,5.57476401e-01
3.125000,3.150000,5.50125182e-01
3.150000,3.175000,5.40108681e-01
3.175000,3.200000,5.31726003e-01
3.200000,3.225000,5.23443818e-01
3.225000,3.250000,5.12256205e-01
3.250000,3.275000,5.03246784e-01
3.275000,3.300000,4.95490104e-01
3.300000,3.325000,4.87276286e-01
3.325000,3.350000,4.79000300e-01
3.350000,3.375000,4.71173793e-01
3.375000,3.400000,4.62209195e-01
3.400000,3.425000,4.51476902e-01
3.425000,3.450000,4.39078510e-01
3.450000,3.475000,4.30733204e-01
3.475000,3.500000,4.21933502e-01
3.500000,3.525000,4.12662387e-01
3.525000,3.550000,4.05315787e-01
3.550000,3.575000,3.97922188e-01
3.575000,3.600000,3.91223490e-01
3.600000,3.625000,3.84348810e-01
3.625000,3.650000,3.74278992e-01
3.650000,3.675000,3.61462504e-01
3.675000,3.700000,3.54754001e-01
3.700000,3.725000,3.46356511e-01
3.725000,3.750000,3.40104610e-01
3.750000,3.775000,3.33803803e-01
3.775000,3.800000,3.27149004e-01
3.800000,3.825000,3.20772290e-01
3.825000,3.850000,3.15165102e-01
3.850000,3.875000,3.08044910e-01
3.875000,3.900000,3.02379400e-01
3.900000,3.925000,2.96846986e-01
3.925000,3.950000,2.91345388e-01
3.950000,3.975000,2.85677612e-01
3.975000,4.000000,2.76001394e-01
4.000000,4.025000,2.66559899e-01
4.025000,4.050000,2.61375904e-01
4.050000,4.075000,2.55967408e-01
4.075000,4.100000,2.50861406e-01
4.100000,4.125000,2.45681405e-01
4.125000,4.150000,2.41000295e-01
4.150000,4.175000,2.36245796e-01
4.175000,4.200000,2.31209800e-01
4.200000,4.225000,2.25263402e-01
4.225000,4.250000,2.19169095e-01
4.250000,4.275000,2.13617995e-01
4.275000,4.300000,2.09528595e-01
4.300000,4.325000,2.05224693e-01
4.325000,4.350000,2.00344101e-01
4.350000,4.375000,1.96097806e-01
4.375000,4.400000,1.92041799e-01
4.400000,4.425000,1.87876597e-01
4.425000,4.450000,1.83923498e-01
4.450000,4.475000,1.77190393e-01
4.475000,4.500000,1.71488598e-01
